subclass,label,Acteur_Social_IEML,Code_IEML,Score_Similarite,Validation_Requise
Q215793,maître de chapelle,agent de,d.a.-l.a.-f.o.-',0.27,True
Q82594,informaticien ou informaticienne,informaticien,s.a.-t.a.-f.o.-',0.99,False
Q105397736,South Asianist,assureur,f.a.-t.a.-f.o.-',0.13,True
Q84505214,spécialiste de l'Asie de l'Est,journaliste,n.a.-b.a.-f.o.-',0.36,True
Q177220,chanteur ou chanteuse,inventeur,d.a.-d.a.-f.o.-',0.43,False
Q1731155,orientaliste,journaliste,n.a.-b.a.-f.o.-',0.52,False
Q4573805,commissaire municipal,notaire,m.a.-t.a.-f.o.-',0.26,True
Q16351788,patriot,partenaire,m.a.-d.a.-f.o.-',0.21,True
Q11499147,militant ou militante politique,politicien,s.a.-k.a.-f.o.-',0.38,True
Q639669,musicien ou musicienne,musicien,f.a.-b.a.-f.o.-',0.98,False
Q1914636,activité,activiste,b.a.-k.a.-f.o.-',0.74,False
Q192581,travail,travailleur social,f.a.-n.a.-f.o.-',0.59,False
Q2266417,employment opportunities,mentor,s.a.-d.a.-f.o.-',0.23,True
Q58209937,professeur d'histoire,investisseur,t.a.-d.a.-f.o.-',0.35,True
Q100709106,professeur de géographie,cartographe,l.a.-t.a.-f.o.-',0.36,True
Q1607826,éditeur ou éditrice,éditeur,t.a.-b.a.-f.o.-',0.93,False
Q16533,juge,juré,k.a.-n.a.-f.o.-',0.33,True
Q28107590,artiste de concept,archiviste,t.a.-l.a.-f.o.-',0.25,True
Q15839134,écologue,écologiste,l.a.-f.a.-f.o.-',0.53,False
Q170790,mathématicien ou mathématicienne,informaticien,s.a.-t.a.-f.o.-',0.62,False
Q2732142,statisticien ou statisticienne,politicien,s.a.-k.a.-f.o.-',0.44,False
Q3127709,harpiste,activiste,b.a.-k.a.-f.o.-',0.37,True
Q21166956,luthiste,activiste,b.a.-k.a.-f.o.-',0.42,False
Q37226,enseignant ou enseignante,enseignant,d.a.-f.a.-f.o.-',0.98,False
Q5,être humain,ancêtre,t.a.-m.a.-f.o.-',0.52,False
Q12859263,orateur ou oratrice,médiateur,m.a.-s.a.-f.o.-',0.36,True
Q12794619,propriétaire de biens,secrétaire,k.a.-t.a.-f.o.-',0.46,False
Q6502151,fraude fiscale,agent de,d.a.-l.a.-f.o.-',0.14,True
Q273120,protestation,relation publique,l.a.-b.a.-f.o.-',0.37,True
Q19829980,scientifique des religions,relation publique,l.a.-b.a.-f.o.-',0.39,True
Q63349579,handball national coach,relation publique,l.a.-b.a.-f.o.-',0.28,True
Q115042469,Bundestrainer,vendeur,k.a.-d.a.-f.o.-',0.13,True
Q19101121,artisan manuel,manager,l.a.-s.a.-f.o.-',0.23,True
Q8246794,blogueur ou blogueuse,psychologue,s.a.-f.a.-f.o.-',0.38,True
Q15980158,auteur ou autrice de non-fiction,auteur,b.a.-b.a.-f.o.-',0.72,False
Q15839206,biologiste moléculaire,écologiste,l.a.-f.a.-f.o.-',0.67,False
Q2374149,botaniste,activiste,b.a.-k.a.-f.o.-',0.33,True
Q3578589,écologiste,écologiste,l.a.-f.a.-f.o.-',1.0,False
Q1476215,défenseur des droits de l'Homme,défendeur,l.a.-n.a.-f.o.-',0.47,False
Q639669,musicien ou musicienne,musicien,f.a.-b.a.-f.o.-',0.98,False
Q639669,musicien ou musicienne,musicien,f.a.-b.a.-f.o.-',0.98,False
Q3409375,prêtre anglican,ancêtre,t.a.-m.a.-f.o.-',0.54,False
Q47090899,professionnel des musées,musicien,f.a.-b.a.-f.o.-',0.23,True
Q33231,photographe,cartographe,l.a.-t.a.-f.o.-',0.75,False
Q1650915,chercheur ou chercheuse,archiviste,t.a.-l.a.-f.o.-',0.17,True
Q60332470,anthropogéographe,cartographe,l.a.-t.a.-f.o.-',0.67,False
Q101248873,föreståndare,fondateur,t.a.-t.a.-f.o.-',0.15,True
Q15319501,chercheur ou chercheuse en sciences sociales,travailleur social,f.a.-n.a.-f.o.-',0.4,False
Q30002353,professeur de langues,investisseur,t.a.-d.a.-f.o.-',0.33,True
Q30002353,professeur de langues,investisseur,t.a.-d.a.-f.o.-',0.33,True
Q30002353,professeur de langues,investisseur,t.a.-d.a.-f.o.-',0.33,True
Q30002353,professeur de langues,investisseur,t.a.-d.a.-f.o.-',0.33,True
Q37226,enseignant ou enseignante,enseignant,d.a.-f.a.-f.o.-',0.98,False
Q30002353,professeur de langues,investisseur,t.a.-d.a.-f.o.-',0.33,True
Q30002353,professeur de langues,investisseur,t.a.-d.a.-f.o.-',0.33,True
Q30002353,professeur de langues,investisseur,t.a.-d.a.-f.o.-',0.33,True
Q101445634,professeur de science,investisseur,t.a.-d.a.-f.o.-',0.32,True
Q37226,enseignant ou enseignante,enseignant,d.a.-f.a.-f.o.-',0.98,False
Q2066131,athlète,hôte,f.a.-k.a.-f.o.-',0.23,True
Q17291399,membre d'équipe de cinéma,agent de,d.a.-l.a.-f.o.-',0.29,True
Q373021,aircrew member,mere,f.a.-m.a.-f.o.-',0.17,True
Q95613235,steward,activiste,b.a.-k.a.-f.o.-',0.17,True
Q57610536,travailleurs du secteur aérien,travailleur social,f.a.-n.a.-f.o.-',0.64,False
Q30002353,professeur de langues,investisseur,t.a.-d.a.-f.o.-',0.33,True
Q30002353,professeur de langues,investisseur,t.a.-d.a.-f.o.-',0.33,True
Q3546255,océanographe,cartographe,l.a.-t.a.-f.o.-',0.7,False
Q2675537,professeur ou professeure de musique,investisseur,t.a.-d.a.-f.o.-',0.3,True
Q1259917,violoniste,écologiste,l.a.-f.a.-f.o.-',0.42,False
Q2675537,professeur ou professeure de musique,investisseur,t.a.-d.a.-f.o.-',0.3,True
Q13219637,violoncelliste,journaliste,n.a.-b.a.-f.o.-',0.41,False
Q2675537,professeur ou professeure de musique,investisseur,t.a.-d.a.-f.o.-',0.3,True
Q899758,altiste,activiste,b.a.-k.a.-f.o.-',0.31,True
Q2675537,professeur ou professeure de musique,investisseur,t.a.-d.a.-f.o.-',0.3,True
Q12902372,flûtiste,activiste,b.a.-k.a.-f.o.-',0.37,True
Q2675537,professeur ou professeure de musique,investisseur,t.a.-d.a.-f.o.-',0.3,True
Q855091,guitariste,secouriste,f.a.-l.a.-f.o.-',0.41,False
Q2675537,professeur ou professeure de musique,investisseur,t.a.-d.a.-f.o.-',0.3,True
Q4351403,percussionniste,activiste,b.a.-k.a.-f.o.-',0.31,True
Q4164871,fonction,fonctionnaire,t.a.-k.a.-f.o.-',0.67,False
Q41583,entraîneur sportif,entrepreneur,l.a.-d.a.-f.o.-',0.4,False
Q202648,arbitre sportif ou arbitre sportive,transporteur,b.a.-l.a.-f.o.-',0.35,True
Q738142,commis,comptable,b.a.-t.a.-f.o.-',0.35,True
