Terme_Wikidata,ID_Wikidata,Match_1_IEML,Score_1,Match_2_IEML,Score_2,Match_3_IEML,Score_3
maître de chapelle,Q215793,agent de,0.2727,ancêtre,0.1959,manager,0.0856
informaticien ou informaticienne,Q82594,informaticien,0.9882,réformateur,0.2947,politicien,0.2734
South Asianist,Q105397736,assureur,0.1309,étudiant,0.1248,acteurs sociaux,0.0742
spécialiste de l'Asie de l'Est,Q84505214,journaliste,0.3615,agent de,0.3054,activiste,0.154
chanteur ou chanteuse,Q177220,inventeur,0.4251,acteur,0.1658,auteur,0.143
orientaliste,Q1731155,journaliste,0.5182,activiste,0.2208,archiviste,0.2003
commissaire municipal,Q4573805,notaire,0.2605,publicitaire,0.219,secrétaire,0.207
patriot,Q16351788,partenaire,0.2059,guerrier,0.0,législateur,0.0
militant ou militante politique,Q11499147,politicien,0.3756,consultant,0.1885,familier,0.1841
musicien ou musicienne,Q639669,musicien,0.9799,politicien,0.2255,technicien,0.2176
activité,Q1914636,activiste,0.7447,acteur,0.2396,acteurs sociaux,0.1239
travail,Q192581,travailleur social,0.5949,traducteur,0.1327,transporteur,0.111
employment opportunities,Q2266417,mentor,0.2286,transporteur,0.1925,client,0.174
professeur d'histoire,Q58209937,investisseur,0.3468,précurseur,0.2416,procureur,0.2073
professeur de géographie,Q100709106,cartographe,0.3597,investisseur,0.246,précurseur,0.1713
éditeur ou éditrice,Q1607826,éditeur,0.9304,médiateur,0.1344,acteur,0.0931
juge,Q16533,juré,0.3333,traducteur,0.0,spectateur,0.0
artiste de concept,Q28107590,archiviste,0.2535,activiste,0.2161,agent de,0.2143
écologue,Q15839134,écologiste,0.5256,psychologue,0.4607,guerrier,0.0431
mathématicien ou mathématicienne,Q170790,informaticien,0.6181,politicien,0.3695,musicien,0.2591
statisticien ou statisticienne,Q2732142,politicien,0.4365,informaticien,0.4231,musicien,0.3061
harpiste,Q3127709,activiste,0.3698,archiviste,0.3355,secouriste,0.3339
luthiste,Q21166956,activiste,0.4206,archiviste,0.3816,secouriste,0.3798
enseignant ou enseignante,Q37226,enseignant,0.9771,infirmier / soignant,0.2664,enfant,0.0992
être humain,Q5,ancêtre,0.519,témoin,0.0773,voisin,0.0773
orateur ou oratrice,Q12859263,médiateur,0.3571,fondateur,0.3538,spectateur,0.333
propriétaire de biens,Q12794619,secrétaire,0.4561,notaire,0.3735,publicitaire,0.274
fraude fiscale,Q6502151,agent de,0.1389,frère/socur,0.1153,bénévole,0.112
protestation,Q273120,relation publique,0.3725,procureur,0.1526,producteur,0.1522
scientifique des religions,Q19829980,relation publique,0.3949,client,0.1523,agent de,0.1125
handball national coach,Q63349579,relation publique,0.2811,fonctionnaire,0.1468,allié,0.0953
Bundestrainer,Q115042469,vendeur,0.1286,défendeur,0.1071,investisseur,0.107
